id,q1_hh_members,q2_age_u5,q3_age_5_17,q4_age_18_34,q5_age_35_59,q6_age_60plus,q7_male,q8_female,q9_head_sex,q10_head_age,q11_head_education,q12_occupation,q12_other,q13_income,q14_residence,q15_housing,q15_other,q16_tenure,q17_rooms,q18_floors,q19_economic,q20_living,q21_region,q22_district,q23_village,demographics_complete,starttime_complete,q96digital_corruption,q87_confidence,q95_cyber_awareness
1438,13,2,5,3,2,1,6,7,2,52,1,4, ,700,1,2, ,1,4,1,3,2,1,1,Masallaha,2,2, , , 
1439,9,0,0,9,2,1,3,6,1,75,1,6, ,600,1,1, ,1,5,1,3,2,1,5,Jarato,2,2, , , 
1442,8,0,0,0,0,0,4,4,1,40,1,6, ,200,1,1, ,1,4,1,4,4,1,2,150,2,2, , , 
1445,7,0,0,7,2,0,2,5,1,45,3,1, ,650,1,2, ,1,3,1,2,3,1,4,Jungal,2,2, , , 
1448,8,0,0,0,0,0,4,4,1,40,1,6, ,200,1,1, ,1,4,1,4,3,1,2,150,2,2, , , 
1449,8,0,0,0,0,0,4,4,1,40,1,6, ,200,1,1, ,1,4,1,4,3,1,2, ,2,2, , , 
1453,4,4,0,0,0,0,4,4,1,40,1,6, ,200,1,1, ,1,4,1,4,3,1,2,150,2,2, , , 
1455,8,0,0,0,0,0,4,4,1,40,1,6, ,200,1,1, ,1,4,1,4,3,1,2,150,2,2, , , 
1456,8,0,0,0,0,0,4,4,1,40,1,6, ,200,1,1, ,1,4,1,3,3,1,2,150,2,2, , , 
1457,7,1,2,1,0,0,3,4,1,51,1,6, ,350,1,1, ,1,3,1,4,3,1,4,mohamed mooge,2,2, , , 
1458,9,2,1,2,1,1,3,5,1,45,1,6, ,250,1,1, ,1,4,1,4,3,1,2,150,2,2, , , 
1459,7,2,1,2,0,0,4,3,1,43,1,6, ,250,1,2, ,1,5,1,4,3,1,2,150,2,2, , , 
1464,14,1,1,1,1,1,6,8,1,53,7,2, ,3500,1,1, ,1,11,2,5,4,1,7,Hargeisa,2,2, ,5,3
1469,5,0,0,0,1,0,3,2,2,58,1,2, ,50,1,3, ,2,3,2,1,2,1,7,no village,2,2, ,4,1
1472,12,1,0,0,2,1,6,6,1,38,4,7,building engineering,500,1,1, ,2,6,1,4,4,1,7,hero awr,2,2, ,5,2
1474,7,1,1,2,2,1,3,4,1,60,6,1, ,700,1,1, ,3,5,2,3,3,1,6, ,2,2, ,5,1
1476,14,1,1,1,0,0,6,7,1,53,7,2, ,3500,3,1, ,1,13,2,4,4,1,7,Hargeisa,2,2, ,4,3
1478,8,2,1,0,0,0,6,2,1,40,3,1, ,400,1,2, ,1,3,1,4,3,1,1,Badhka,2,2,5,3,2
1480,6,5,6,2,2,1,1,2,1,66,7,3, ,2000,1,3, ,1,5,1,5,5,2,2,daruuraha,2,2,2,3,3
1485,4,2,0,0,0,0,1,3,1,28,7,7,teacher,100,1,1, ,1,3,1,4,1,1,6,sheikh nuur,2,2,5,4,3
1487,9,1,1,5,1,1,5,4,1,60,4,1, ,1000,1,1, ,1,6,1,4,5,1,6, ,2,2,4,5,1
1488,6,0,0,0,1,1,3,3,2,37,2,2, ,70,1,2, ,1,5,1,4,4,1,7,hero awr,2,2,2,6,6
1494,10,0,0,1,1,0,5,5,2,49,6,5, ,200,1,3, ,1,4,1,5,5,1,7,Jigjiga yar,2,2,5,2,1
1502,5,2,1,0,1,0,2,3,1,35,6,7,taxi driver,500,1,2, ,3,4,1,2,2,1,6,Dalloodho,2,2, , , 
1503,7,0,1,1,1,0,5,2,1,35,7,1, ,800,1,2, ,2,5,1,4,3,1,6,Daruuraha,2,2,5,4,3
1506,10,0,0,1,1,1,6,4,1,63,2,7,retired,700,1,1, ,3,6,1,3,6,1,2,Goljanno,2,2, , , 
1507,6,0,0,0,0,1,3,3,1,61,6,7,retired,1500,1,1, ,3,5,2,4,4,1,7,Gantaalaha,2,2, , , 
1511,4,0,0,1,0,0,0,4,2,40,1,6, ,200,1,1, ,1,4,1,5,5,1,6,sheikh nuur,2,2,5,5,5
1512,8,0,0,0,0,1,4,4,1,30,6,1, ,540,1,2, ,1,5,0,3,5,1,7,xero awr,2,2,4,4,3
1531,6,2,1,0,2,0,3,3,1,38,7,1, ,700,1,1, ,1,7,1,3,4,1,1, ,2,2,5,3,3
1547,8,2,1,1,1,3,4,4,1,40,6,4, ,1200,1,1, ,1,8,1,4,4,1,7,Hargeisa,2,2,5,3,2
1552,9,0,1,0,0,2,2,7,1,65,3,2, ,500,1,3, ,1,7,1,5,5,1,7,no village,2,2,4,2,3
1558,9,0,0,2,0,0,6,3,2,27,6,1, ,150,1,2, ,1,3,0,4,4,1,3,pepsiga,2,2,4,5,3
1559,9,0,0,1,2,1,5,4,1,62,7,1, ,800,1,3, ,1,5,1,5,5,1,7,no village,2,2,2,4,5
1561,7,9,0,0,0,1,4,5,1,64,6,2, ,1000,1,1, ,1,7,1,5,5,1,1,Isha borame,2,2,3,3,2
1562,7,0,0,2,0,1,4,3,2,60,4,1, ,800,1,1, ,1,6,1,5,4,1,7,Gantaalaha,2,2, , , 
1566,7,0,0,0,0,1,3,4,2,60,1,6, ,300,1,2, ,1,5,1,4,4,1,1,Siinay,2,2,3,3,2
1567,11,2,1,1,0,1,4,7,2,42,1,6, ,95,1,3, ,3,2,1,3,4,1,7,no village,2,2,4,1,5
1568,18,0,0,2,0,1,12,6,2,52,4,5, ,200,1,1, ,1,5,1,3,3,1,7,xera awr,2,2,3,3,2
1569,11,1,0,0,0,0,7,4,1,58,4,2, ,1000,1,1, ,1,5,1,5,1,1,7,jigjiga yar,2,2,4,5,1
1573,8,0,0,0,2,0,5,3,1,50,8,7,engineer,350,1,1, ,1,5,1,5,5,1,6,sheikh nuur,2,2,3,5,1
1575,4,0,0,0,0,1,2,2,1,61,6,2, ,2000,1,1, ,1,7,2,5,4,1,8,100 jire,2,2,4,3,3
1576,9,2,1,0,1,0,4,5,1,38,1,1, ,100,1,3, ,1,2,1,3,5,1,7,no village,2,2,4,4,4
1578,12,2,1,1,0,0,6,6,2,40,7,2, ,300,1,1, ,1,5,0,4,5,1,7,hero awr,2,2,5,5,6
1579,10,0,1,1,1,0,6,4,2,45,2,4, ,300,1,1, ,1,4,1,5,5,1,6,sheikh nuur,2,2,5,3,3
1585,10,1,1,0,1,1,3,7,2,60,2,6, ,600,1,1, ,1,5,1,4,4,1,2,cawo dhalad,2,2,4,4,3
1597,15,1,0,0,1,1,6,6,2,40,3,6, ,300,1,1, ,1,7,1,4,4,1,2,xawaadle,2,2,2,3,2
1600,12,0,0,10,2,1,6,6,1,61,4,7,bus driving,300,1,3, ,1,6,1,4,4,1,7,hero awr,2,2,4,3,3
1606,6,1,0,4,1,1,2,4,1,80,8,2, ,100,1,2, ,1,2,1,3,3,1,4,sh.cumar,2,2,2,4,2
1608,9,2,1,0,0,0,5,4,1,45,6,2, ,900,1,1, ,1,6,1,5,4,1,2,daloodho,2,2,5,3,1
1609,6,6,8,0,8,8,7,9,2,89,4,2, ,800,1,1, ,1,7,1,4,4,1,2,xero awr,2,2, , , 
1611,10,2,1,0,3,2,4,5,2,30,6,2, ,240,1,4,Moderate house,1,6,2,5,4,1,7,Hargeisa,2,2,3,3,3
1614,9,0,0,1,0,1,4,5,1,45,3,1, ,250,1,1, ,1,5,1,4,4,1,3,ayaxa,2,2,3,4,3
1615,5,0,0,5,2,1,3,2,2,35,4,1, ,500,1,2, ,1,4,1,3,4,1,1,siinay,2,2,1,3,2
1617,4,0,0,0,0,1,2,2,1,63,6,2, ,250,1,1, ,1,3,1,4,3,1,1,badhka,2,2,4,5,4
1620,8,3,2,3,3,1,3,5,1,47,6,1, ,400,1,2, ,1,5,1,3,4,1,1,Badhka-Sare,2,2, , , 
1622,15,3,2,4,5,1,8,7,1,61,7,2, ,1000,1,1, ,1,10,3,3,3,1,2,Goljanno,2,2,5,3,3
1623,9,1,1,7,2,1,4,3,1,61,3,2, ,300,3,3, ,2,7,1,2,3,1,7,jigjigyar,2,2,3,3,2
1628,10,0,0,9,2,0,3,7,1,50,6,2, ,500,1,1, ,1,5,1,5,4,1,7,hero awr,2,2,1,3,4
1633,3,0,0,2,1,0,2,1,1,32,6,1, ,300,1,2, ,1,3,1,2,3,1,1,siinay,2,2,3,2,3
1635,13,0,2,9,1,1,7,6,2,54,3,6, ,500,1,1, ,1,6,1,5,5,1,9,Sh.nuur,2,2,3,3,5
1638,9,1,1,0,1,0,4,5,1,55,7,1, ,6200,2,2, ,1,6,1,4,4,6,4,Hargysa/somaliland,2,2,3,3,3
1641,7,1,1,1,0,1,2,5,2,41,4,2, ,300,1,1, ,1,5,1,4,5,1,1,siinay,2,2,2,3,5
1642,5,1,4,2,1,0,2,3,1,39,6,6, ,200,1,1, ,1,4,1,4,4,1,7,hero awr,2,2,5,3,1
1643,15,0,0,0,1,1,7,8,1,63,4,7,retired,800,1,3, ,1,6,1,4,4,1,7, ,2,2,2,3,3
1644,12,0,0,2,2,1,5,7,1,55,7,1, ,1000,1,1, ,1,6,1,3,3,1,7,Near sarimada jigjigayar,2,2, , , 
1649,3,0,0,0,0,0,1,2,2,46,4,2, ,600,1,2, ,1,4,1,3,4,1,6,Isha-Borama,2,2,2,5,6
1650,10,2,1,2,1,0,6,4,1,45,7,1, ,1000,1,1, ,1,6,1,4,4,1,8,Boqol-jire,2,2,5,4,4
1651,6,0,0,1,0,1,2,4,2,49,1,7,police officer,300,1,1, ,1,4,1,3,5,1,7,jigjiga yar,2,2,4,3,2
1653,8,0,0,2,0,1,5,3,1,27,7,2, ,500,1,1, ,1,5,1,5,4,1,7,Xero awr,2,2, , , 
1655,6,2,0,0,1,0,2,4,1,35,4,7,dhaweeye driver,500,1,2, ,1,3,0,4,4,1,3,Pepzi-ga,2,2,5,5,3
1658,2,0,0,2,1,0,1,1,2,50,2,2, ,100,1,2, ,1,4,1,3,4,1,7,hero awr,2,2,4,5,3
1659,16,0,1,2,1,1,9,7,1,49,5,2, ,800,1,1, ,1,7,0,5,5,1,3,pepsiga,2,2,4,4,3
1669,8,0,0,1,0,0,4,4,1,55,4,2, ,300,1,1, ,1,4,1,5,4,1,4,calaamada,2,2,4,3,3
1673,5,0,0,1,0,0,2,3,2,50,2,2, ,300,1,1, ,1,5,1,3,3,1,7,maroodi-jeex,2,2,4,5,2
1679,4,1,3,3,2,0,2,2,1,34,6,2, ,350,1,3, ,1,5,1,3,3,1,7,Ibrahim Koodbuur,2,2,3,3,3
1680,12,0,12,7,2,1,3,9,1,82,6,6, ,500,1,1, ,1,6,0,4,3,1,6,Hargeisa,2,2,3,4,2
1681,12,2,1,0,0,3,8,4,1,62,7,2, ,2000,1,3, ,1,18,2,5,5,1,7,jigjiga yar,2,2,4,4,3
1682,12,3,1,2,1,0,7,5,1,38,5,1, ,200,1,3, ,1,3,1,4,1,1,3,pepsiga,2,2,4,3,3
1685,12,1,0,2,3,3,5,7,1,35,6,2, ,1500,1,3, ,1,8,1,4,3,1,2,Hargeisa,2,2,4,4,4
1686,9,2,0,0,1,0,4,5,2,35,7,1, ,400,1,1, ,1,6,0,5,4,1,2,yuusuf megaag,2,2,3,4,3
1688,7,0,0,0,0,1,2,5,1,72,6,2, ,900,1,1, ,1,8,1,5,4,1,3,pepsi,2,2,4,3,2
1690,14,0,0,12,3,0,6,8,1,55,8,2, ,300,1,1, ,1,6,1,4,4,1,7,Sheedaha,2,2,2,3,2
1691,10,0,0,2,0,2,7,3,1,65,7,2, ,800,1,1, ,2,6,1,4,4,1,6,Sh.Madar,2,2, , , 
1692,13,0,0,1,2,0,4,9,1,53,4,4, ,1000,1,1, ,1,6,1,4,5,1,7,jigjigayar,2,2,4,3,2
1693,9,0,0,0,2,0,6,3,1,40,6,1, ,500,1,1, ,1,6,1,4,3,1,2,xero awr,2,2, , , 
1698,5,0,0,0,0,0,3,2,2,54,4,6, ,600,1,1, ,1,4,1,4,4,1,6,Daruurah,2,2,3,3,3
1699,9,0,0,0,2,0,3,6,1,40,8,1, ,250,1,2, ,1,4,1,4,3,1,3,lug surwal,2,2,3,1,2
1702,12,0,0,1,0,1,8,4,1,52,8,1, ,400,1,1, ,1,4,1,3,3,1,1,october,2,2,3,3,3
1706,7,1,6,1,3,0,3,4,1,30,7,1, ,450,1,2, ,1,5,1,4,6,1,2,Goljano,2,2,3,3,2
1707,12,0,0,0,0,0,6,6,1,55,5,1, ,500,1,1, ,1,4,1,5,5,1,7,jigjiga yar,2,2,4,3,2
1709,5,0,0,2,0,1,2,3,1,60,7,2, ,1000,1,1, ,1,8,0,5,5,1,7,Baddass,2,2,2,4,4
1711,3,1,0,0,0,0,2,1,1,30,7,1, ,300,1,2, ,1,3,1,4,3,1,4,cabdi qalaaf,2,2, , , 
1712,6,0,0,4,1,1,2,4,1,68,2,1, ,300,1,2, ,1,5,1,3,3,1,6,magalo ugaaso,2,2,2,3,3
1713,8,1,1,4,2,0,3,5,1,52,7,2, ,800,1,1, ,1,5,1,5,5,1,9,Golden Area,2,2,4,5,5
1714,10,1,0,1,0,0,3,7,1,50,4,2, ,300,1,1, ,1,4,1,5,5,1,6,sheikh nuur,2,2,4,3,4
1715,9,6,3,0,1,1,3,6,1,60,5,2, ,450,1,1, ,1,5,1,4,4,1,7,Jigjigayar,2,2,3,3,3
1716,6,0,2,0,1,0,2,4,1,35,7,1, ,1000,1,3, ,1,6,1,5,3,1,8,Baddacaz,2,2,1,1,1
1717,18,1,17,4,0,1,10,8,1,60,8,1, ,400,1,1, ,1,5,1,3,3,1,3,lug surwaal,2,2,2,6,2
1719,13,2,0,1,0,0,8,5,1,49,7,2, ,1650,1,2, ,1,6,1,5,5,1,4,sh.shugri,2,2,4,4,2
1720,7,3,1,0,0,0,3,2,1,37,6,1, ,500,1,2, ,1,3,1,4,4,1,3,qandahar,2,2,2,5,3
1722,5,1,4,0,1,1,3,2,2,60,8,2, ,200,1,1, ,1,5,1,3,3,1,2,xero awr,2,2, , , 
1724,7,1,0,1,0,1,6,3,1,58,4,6, ,800,1,2, ,1,7,1,3,4,1,7,Maroodi Jeex,2,2,3,4,2
1726,11,1,0,0,2,1,6,5,2,62,1,6, ,300,1,1, ,1,5,1,3,3,1,4,mohamed mooge,2,2,3,6,3
1731,5,1,0,1,0,1,3,2,1,65,6,2, ,2000,1,1, ,1,4,1,4,5,1,6,Kiladhka,2,2,4,3,3
1733,6,1,1,1,1,2,3,3,1,55,5,1, ,300,1,1, ,1,4,1,3,4,1,1,Axmed Dhagax,2,2, , , 
1735,6,0,0,1,0,0,3,3,2,58,1,2, ,150,3,1, ,1,3,1,4,3,1,8,Gantaalaha,2,2,5,3,2
1736,1,0,0,1,0,0,1,0,1,28,6,1, ,300,1,1, ,1,4,1,4,4,1,7,jigjiga yar,2,2,5,3,5
1738,15,1,0,1,2,0,6,6,2,40,3,6, ,300,1,1, ,1,7,1,4,4,1,2,xawaadle,2,2,2,3,2
1739,10,2,0,5,1,1,4,6,1,59,7,1, ,700,1,1, ,1,6,1,3,3,1,7,Jigjigayar,2,2, , , 
1740,12,0,12,11,2,0,6,6,2,54,6,6, ,1000,1,1, ,1,9,1,4,4,1,2,hawaadle,2,2,2,5,1
1741,6,0,0,1,1,0,3,3,1,45,4,2, ,3000,1,1, ,1,9,1,4,4,1,7,Jigjigayar,2,2, , , 
1744,5,0,0,0,0,1,2,3,1,78,6,6, ,5000,1,1, ,1,4,1,3,3,1,8, ,2,2,3,3,6
1745,4,0,4,3,1,0,2,2,1,44,6,1, ,1000,1,2, ,1,6,1,4,4,1,8,boqoljire,2,2,3,2,2
1748,7,2,5,5,3,1,3,4,1,67,6,6, ,1000,1,1, ,1,5,1,4,4,1,7,hero awr,2,2,5,5,2
1749,9,0,9,7,1,0,5,4,1,55,6,3, ,1300,1,1, ,1,5,1,4,4,1,6,sheekh mubarig,2,2,4,3,2
1750,8,0,0,6,1,1,0,8,2,47,2,1, ,400,1,1, ,1,4,1,4,3,1,6,magalo ugaaso,2,2,4,3,4
1751,7,0,0,0,0,1,2,5,1,60,6,2, ,1000,1,1, ,1,5,1,3,4,1,8,hargeisa,2,2,2,4,3
1752,11,0,8,7,2,0,3,8,2,50,8,2, ,500,1,1, ,1,5,1,5,5,1,7,hero awr,2,2,5,4,2
1755,12,1,2,7,2,0,8,4,1,45,3,4, ,750,1,1, ,1,4,1,4,4,1,1,Cakara,2,2, , , 
1756,12,2,0,1,0,0,6,6,1,53,3,2, ,1000,1,1, ,1,8,1,5,4,1,3,Dhooldahable,2,2,3,4,4
1758,8,0,0,0,0,1,3,5,1,60,1,1, ,500,1,3, ,1,4,1,4,5,1,2,Daloodho,2,2,4,3,2
1759,7,1,1,1,2,2,4,3,1,55,6,2, ,420,1,1, ,1,4,1,3,4,1,1,Axmed Dhagax,2,2, , , 
1760,12,1,0,1,0,0,8,4,1,45,4,4, ,750,1,1, ,1,4,1,4,4,1,1,Half-London,2,2, , , 
1763,10,2,1,7,2,0,6,4,1,48,4,1, ,400,3,1, ,1,8,2,4,4,1,7,JIGJIGYAR,2,2,3,4,3
1764,5,1,0,0,1,0,1,4,1,35,7,1, ,1000,1,2, ,1,4,1,5,5,1,5,Masalaha,2,2,4,5,4
1765,12,1,1,5,2,0,5,7,1,45,6,7,Geerashpe,500,1,1, ,1,5,1,4,4,1,1,Stadium area,2,2,5,3,3
1766,10,0,0,1,0,0,5,5,1,49,4,7,diaspora bill,200,1,3, ,1,4,2,2,2,1,1,october,2,2,4,4,2
1767,10,0,10,9,2,0,5,5,2,47,6,2, ,500,1,1, ,1,5,1,4,4,1,2,Hargeisa,2,2,3,3,2
1768,14,3,1,1,0,2,5,9,1,64,2,2, ,1500,1,1, ,1,11,2,5,5,1,5,star area,2,2,5,4,2
1771,8,0,8,3,2,0,4,4,1,47,4,1, ,300,1,2, ,1,4,1,4,4,1,2, ,2,2,2,3,4
1774,5,1,1,0,0,0,2,3,1,31,4,2, ,500,1,2, ,1,5,1,4,4,1,5,xidigta,2,2,4,5,2
1778,10,2,8,5,2,0,7,3,1,43,6,1, ,1500,1,1, ,1,5,1,4,4,1,8,badda cas,2,2, , , 
1786,17,0,0,1,2,2,11,6,1,60,4,6, ,100,1,1, ,1,4,1,5,5,1,1,Pepsi village,2,2,2,3,3
1788,8,0,0,5,3,1,3,5,1,60,2,2, ,400,3,3, ,1,5,1,4,4,1,7,gantaalaha,2,2,3,4,3
1791,13,1,0,2,0,1,5,8,1,57,3,1, ,300,1,1, ,1,4,1,3,3,1,9,Warancade,2,2,3,4,3
1792,9,0,9,5,2,0,7,2,1,55,1,2, ,150,1,1, ,1,2,1,3,3,1,7,hero awr,2,2, , , 
1798,5,1,1,4,1,1,2,3,2,68,1,2, ,300,1,1, ,1,3,1,3,4,1,1,Badhka,2,2,3,3,2
1800,7,0,5,2,0,0,2,5,2,50,6,1, ,300,1,1, ,1,5,1,5,5,1,7,ibraahim koodbuur,2,2,5,4,3
1802,8,3,0,0,0,0,2,6,1,39,7,1, ,850,1,2, ,1,5,1,3,4,1,5,ambassador hotel area,2,2,3,4,5
1804,8,0,0,1,0,0,2,7,2,47,6,2, ,400,1,1, ,1,4,1,3,3,1,6,sh.mubarik,2,2,2,3,4
1808,7,2,0,0,1,0,2,5,1,37,8,1, ,500,3,2, ,1,3,1,4,4,1,7, ,2,2,4,6,4
1809,9,3,2,2,0,2,5,4,2,60,6,2, ,1300,1,2, ,1,5,1,5,5,1,1,october,2,2,3,4,3
1810,7,0,0,0,0,1,3,4,2,46,4,6, ,1700,1,1, ,1,8,1,5,5,1,1,sand village,2,2,3,3,3
1812,4,0,1,1,10,0,2,2,1,28,1,1, ,200,1,1, ,1,4,0,3,3,1,3,pepsiga,2,2,3,1,6
1814,8,1,0,0,0,0,4,4,1,52,7,2, ,1000,1,2, ,1,4,1,3,3,1,1,Stadium area,2,2,3,4,2
1815,2,0,0,0,2,0,1,1,1,35,6,1, ,750,1,2, ,1,3,1,4,4,1,1,October,2,2,4,4,1
1819,9,3,1,1,1,0,5,4,1,35,6,1, ,500,1,1, ,1,4,1,5,5,1,3,Pepzi-ga,2,2,4,4,3
1820,6,2,0,0,0,0,3,3,1,43,7,7,Member of Parliamen,3000,1,1, ,1,7,2,5,5,1,3,Dhooldahable,2,2,2,3,2
1821,4,1,2,2,0,0,2,2,1,23,4,4, ,100,1,2, ,1,2,1,2,4,1,1,Badhka,2,2,3,3,2
1822,12,0,1,1,0,1,6,6,1,61,1,7,Water-truck driver,800,1,1, ,1,5,1,3,4,1,7,Gacntaalaha,2,2,4,4,2
1824,9,2,0,1,1,0,3,6,1,45,4,1, ,500,1,1, ,1,4,1,4,4,1,7,Jigjiga yar,2,2,4,5,5
